inherited_word_id,inherited_word,meaning,lang_id,first_attestation,is_primary,is_regional,variety_or_region,notes
556,restroio,,13,12-13,yes,no,,
557,Rianno,,19,11,yes,no,,
558,ripio,,16,16,yes,no,,
559,rollo,,17,15,yes,no,,
560,rrinchar,,13,14,yes,no,,
561,rrolha,,13,15-16,yes,no,,
562,ruejo,,16,17,yes,yes,Navarra,
563,rueldo,,19,,yes,no,,
564,sachar,,13,14,yes,no,,
565,sachar,,16,16,yes,no,,
566,sachio,,13,12,yes,no,,
567,sacho,,16,16,yes,no,,
568,sallamos,,16,13,yes,yes,"Asturias, Santander, Burgos",
569,saluçadas,,13,13,yes,no,,
570,sarapulha,,12,16,yes,no,,
571,sarpullo,,19,,yes,no,,
572,seglar,,17,12,yes,no,,
573,segrares,,13,13,yes,no,,
574,segre,,13,13,yes,no,,
575,sella,,13,14,yes,no,,
576,senllas,,13,13,yes,no,,
577,senlleira,,13,13,yes,no,,
578,señardá,,15,,yes,no,,
579,señardade,,23,,yes,no,,
580,señardade,,12,19-20,yes,no,,
581,señerdat,,17,13,yes,no,,
582,señeros,,17,12,yes,no,,
583,seños,,17,12,yes,no,,
584,sieglo,,17,12,yes,no,,
585,silvar,,13,13,yes,no,,
586,silvos,,17,13,yes,no,,
587,simple,,17,13,yes,no,,
588,simpriz,,13,13,yes,no,,
589,sinlia,,13,13,yes,no,,
590,solenguaño,,16,,yes,yes,Santander,
591,solho,,13,13,yes,no,,
592,solieuo,,17,15,yes,no,,
593,soliuiate,,17,13,yes,no,,
594,sollamaran,,17,15,yes,no,,
595,sollar,,17,13,yes,no,,
596,solloços,,17,13,yes,no,,
597,sollutir,,15,,yes,no,,
598,soprar,,13,14,yes,no,,
599,sortijas,,17,13,yes,no,,
600,sortilia,,13,12?-13,yes,no,,
601,spadoam,,13,12,yes,no,,
602,spillu,,17,10,yes,no,,
603,stipullaços,,13,14,yes,no,,
604,tablados,,17,12,yes,no,,
605,tablas,,17,12,yes,no,,
606,tauoado,,13,13,yes,no,,
607,tavoa,,13,13,yes,no,,
608,teias,,17,13,yes,no,,
609,telia,,13,12,yes,no,,
610,tenlleira,,12,19,yes,no,,
611,tenllera,,15,,yes,no,,
612,tenpro,,13,13,yes,no,,
613,tidoo,,13,13-14,yes,no,,
614,tiemplo,,17,13,yes,no,,
615,tienlla,,17,13,yes,no,,
616,tilde,,17,15,yes,no,,
617,tolva,,16,16,yes,no,,
618,tortulho,,13,14,yes,no,,
619,tramallo,,15,,yes,no,,
620,trasmalhos,,13,14,yes,no,,
621,treble,,17,13,yes,no,,
622,tresmallo,,16,16,yes,no,,
623,trilho,,13,13,yes,no,,
624,trilla,,13,13,yes,no,,
625,trillar,,17,11,yes,no,,
626,trillo,,17,12,yes,no,,
627,trollar,,15,,yes,no,,
628,trujal,,16,19,yes,no,,
629,trulla,,16,16,yes,no,,
630,trullada,,12,19,yes,no,,
631,tullas,,13,14,yes,no,,
632,uermelia,,13,10,yes,no,,
633,unfllar,,18,,yes,no,,
634,unnas,,13,13,yes,no,,
635,uña,,17,12,yes,no,,
636,vedija,,17,13,yes,no,,
637,Vellia,,13,11,yes,no,,
638,vencejo,,17,13,yes,no,,
639,vencello,,13,13,yes,no,,
640,verdoaga,,12,19,yes,no,,
641,verdoega,,14,16,yes,no,,
642,verdolaga,,17,13,yes,no,,
643,vermejo,,17,12,yes,no,,
644,viejo,,17,11,yes,no,,
645,vinclo,,17,14,yes,no,,
646,viniebla,,16,16,yes,no,,
647,vinqu,,13,13,yes,no,,
648,ygreioa,,13,13,yes,no,,
649,yncha,,17,13,yes,no,,
